cd_sector,tx_sector_descr_nl,ms_avg_tot_net_taxable_inc,ms_median_net_taxable_inc
11001A00-,AARTSELAAR-CENTRUM,40980,31513
11001A01-,DE LEEUWERIK,46419,33839
11001A020,BUERSTEDE,60845,40667
11001A030,YSSELAAR,41190,32328
11001A042,KLEINE GRIPPE,58804,38098
11001A052,LEUG,40699,32135
11001A063,TEN DORPE,42410,34653
11001A074,BRUINEN BAARD,NA,23196
11001A091,KLEISTRAAT - OEVER,66017,37814
11001A0MA,CLEYDAEL-KASTEEL,NA,32409
11001A0PA,ZINKVAL,51177,35465
11001A10-,'T HEIKEN,44091,33603
11001A173,NOTELAAN,31479,24293
11001A190,DE REUKENS,56026,38499
11001A20-,DE KOEKOEK,49319,38319
11001A21-,VIERPALEN,41611,33648
11002A00-,ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN ),32515,21740
11002A01-,KLAPDORP - BROUWERSVLIET,28757,22046
11002A02-,GROENPLAATS (SPAANSE WALLEN),35941,25297
11002A03-,HOOGSTRAAT (SPAANSE WALLEN),28421,21054
11002A04-,OUDAAN (SPAANSE WALLEN),30596,21153
11002A05-,GEVANGENIS (SPAANSE WALLEN),28646,22295
11002A10-,MEIR - LEYSSTRAAT (SP. WALLEN),34783,25296
11002A11-,KIPDORP-ST.-JACOBS (SP.WALLEN),31187,22640
11002A12-,K.N.S.-NAT. BANK (SP. WALLEN),40429,25946
11002A13-,STADSWAAG-BEGIJNHOF(SP.WALLEN),27679,20328
11002A14-,TABAKSVEST (SPAANSE WALLEN),37594,28143
11002A15-,HESSENHUIS (SPAANSE WALLEN),32719,24106
11002A21-,ST.-ANDRIES (SPAANSE WALLEN),27879,20621
11002A22-,ST.-MICHIELSKAAI (SP. WALLEN),36258,24730
11002B701,LINKEROEVER-ZUID (LINKEROEVER),21805,18108
11002B71-,LINKEROEVER - STATION,33892,26616
11002B721,LINKEROEVER-NOORD,32668,24692
11002B73-,ST.-ANNA (LINKEROEVER),29274,24987
11002B742,THOENETLAAN (LINKEROEVER),38144,28369
11002B752,GLORIANTLAAN (LINKEROEVER),34181,27836
11002B782,GALGEWEEL (LINKEROEVER),10743,8580
11002B791,ST.-ANNABOS (LINKEROEVER ),35363,24785
11002B813,BLANCEFLOERLAAN  (LINKEROEVER),43221,33400
11002B824,CHARLES DE COSTERLAAN(L.OEVER),19808,16846
11002C20-,STATIEKWARTIER (STATIONSWIJK),25079,19883
11002C21-,ATHENEUM (STATIONSWIJK),26387,21029
11002C22-,DE CONINCPLEIN-Z.(STATIONSW.),20809,17476
