cd_sector,x65,rest,prop_65plussers
11001A00-,683,1764,27.91172864732325
11001A01-,661,2155,23.473011363636363
11001A020,153,562,21.3986013986014
11001A030,67,369,15.36697247706422
11001A042,107,237,31.1046511627907
11001A052,633,1518,29.428172942817294
11001A063,283,467,37.733333333333334
11001A074,6,22,21.428571428571427
11001A091,148,443,25.042301184433164
11001A0MA,12,45,21.052631578947366
11001A0PA,33,86,27.73109243697479
11001A10-,157,631,19.923857868020303
11001A173,218,355,38.045375218150085
11001A190,79,299,20.8994708994709
11001A20-,225,778,22.43270189431705
11001A21-,201,1057,15.977742448330684
11001ZZZZ,0,1,0
11002A00-,514,2240,18.663761801016705
11002A01-,223,1362,14.069400630914828
11002A02-,166,386,30.07246376811594
11002A03-,163,929,14.926739926739927
11002A04-,184,1318,12.250332889480692
11002A05-,351,1254,21.869158878504674
11002A10-,273,1421,16.115702479338843
11002A11-,221,1724,11.362467866323907
11002A12-,183,780,19.003115264797508
11002A13-,411,1673,19.72168905950096
11002A14-,233,805,22.447013487475914
11002A15-,176,1272,12.154696132596685
11002A21-,554,2194,20.160116448326054
11002A22-,319,1403,18.524970963995354
11002B701,1370,3828,26.35629088110812
11002B71-,424,1507,21.957534955981355
11002B721,1069,2915,26.832329317269078
11002B73-,8,46,14.814814814814813
11002B742,365,1388,20.821448944666287
11002B752,97,77,55.74712643678161
11002B782,8,162,4.705882352941177
11002B791,202,128,61.212121212121204
11002B813,834,1569,34.706616729088644
11002B824,80,472,14.492753623188406
11002C20-,24,354,6.349206349206349
11002C21-,236,1675,12.349555206698064
11002C22-,173,1760,8.949818934299017
11002C23-,367,3059,10.712200817279626
11002C24-,304,3175,8.738143144581777
11002C25-,285,3363,7.8125
11002C31-,266,1075,19.83594332587621
11002C41-,417,2631,13.681102362204726
11002C42-,301,3245,8.488437676254936
11002C43-,221,2135,9.380305602716469
11002C44-,157,1918,7.566265060240964
11002C45-,206,2529,7.53199268738574
11002D30-,376,3991,8.610029768719945
11002D31-,229,2868,7.394252502421699
11002D32-,426,3646,10.461689587426326
11002D33-,379,2949,11.388221153846153
11002D34-,493,5062,8.874887488748875
11002D35-,130,1424,8.365508365508365
11002D38-,3,6,33.33333333333333
11002D41-,549,3045,15.275459098497496
11002D42-,205,2281,8.246178600160901
11002E122,226,947,19.26683716965047
11002E131,174,1436,10.807453416149068
11002E14-,683,5426,11.180225896218694
11002E15-,165,1263,11.554621848739496
11002E50-,885,4912,15.266517164050372
11002E521,329,2933,10.085836909871244
11002E53-,290,2238,11.471518987341772
11002E551,306,1973,13.426941641070645
11002E5MJ,133,744,15.16533637400228
